timestamp,sleep_stage,sleep_stage_code,respiratory_rate_bpm
2026-07-21 01:18:52,Wake,40001,16
2026-07-21 01:19:52,Wake,40001,17
2026-07-21 01:20:52,Wake,40001,17
2026-07-21 01:21:52,Wake,40001,19
2026-07-21 01:22:52,Wake,40001,18
2026-07-21 01:23:52,Wake,40001,19
2026-07-21 01:24:52,Wake,40001,19
2026-07-21 01:25:52,Wake,40001,18
2026-07-21 01:26:52,Wake,40001,16
2026-07-21 01:27:52,Wake,40001,16
2026-07-21 01:28:52,Wake,40001,17
2026-07-21 01:29:52,Wake,40001,17
2026-07-21 01:30:52,Wake,40001,17
2026-07-21 01:31:52,Light,40002,16
2026-07-21 01:32:52,Light,40002,16
2026-07-21 01:33:52,Light,40002,16
2026-07-21 01:34:52,Light,40002,14
2026-07-21 01:35:52,Light,40002,12
2026-07-21 01:36:52,Light,40002,12
2026-07-21 01:37:52,Light,40002,12
2026-07-21 01:38:52,Light,40002,13
2026-07-21 01:39:52,Light,40002,14
2026-07-21 01:40:52,Light,40002,15
2026-07-21 01:41:52,Light,40002,18
2026-07-21 01:42:52,Light,40002,17
2026-07-21 01:43:52,Light,40002,14
2026-07-21 01:44:52,Light,40002,15
2026-07-21 01:45:52,Light,40002,14
2026-07-21 01:46:52,Light,40002,14
2026-07-21 01:47:52,Light,40002,14
2026-07-21 01:48:52,Light,40002,14
2026-07-21 01:49:52,Light,40002,-1
2026-07-21 01:50:52,Light,40002,15
2026-07-21 01:51:52,Light,40002,16
2026-07-21 01:52:52,Light,40002,14
2026-07-21 01:53:52,Light,40002,13
2026-07-21 01:54:52,Light,40002,15
2026-07-21 01:55:52,Light,40002,14
2026-07-21 01:56:52,Light,40002,14
2026-07-21 01:57:52,Light,40002,14
2026-07-21 01:58:52,Light,40002,15
2026-07-21 01:59:52,Light,40002,16
2026-07-21 02:00:52,Light,40002,-1
2026-07-21 02:01:52,Light,40002,14
2026-07-21 02:02:52,Light,40002,13
2026-07-21 02:03:52,Light,40002,13
2026-07-21 02:04:52,Light,40002,14
2026-07-21 02:05:52,REM,40004,16
2026-07-21 02:06:52,REM,40004,17
2026-07-21 02:07:52,REM,40004,20
2026-07-21 02:08:52,REM,40004,20
2026-07-21 02:09:52,REM,40004,22
2026-07-21 02:10:52,REM,40004,20
2026-07-21 02:11:52,REM,40004,18
2026-07-21 02:12:52,REM,40004,15
2026-07-21 02:13:52,REM,40004,23
2026-07-21 02:14:52,REM,40004,20
2026-07-21 02:15:52,REM,40004,18
2026-07-21 02:16:52,REM,40004,20
2026-07-21 02:17:52,REM,40004,21
2026-07-21 02:18:52,REM,40004,19
2026-07-21 02:19:52,REM,40004,20
2026-07-21 02:20:52,REM,40004,20
2026-07-21 02:21:52,REM,40004,20
2026-07-21 02:22:52,Light,40002,18
2026-07-21 02:23:52,Light,40002,19
2026-07-21 02:24:52,Light,40002,12
2026-07-21 02:25:52,Light,40002,13
2026-07-21 02:26:52,Light,40002,20
